# drive_cycle recorded 2026-08-15 18:59:21
# vehicle_id=100087
# dt=0.05
# rows=158
# duration_s=9.666000000000015
# status=arrived
# route_node_count=7
# route_distance_m=70.02131230237671
# grade_source=placeholder_zero
# traffic_speed_factor=0.9374466875177707
time_s,v_mps,grade_deg
0.000000,0.000000,0.000000
0.065000,0.117000,0.000000
0.131000,0.235800,0.000000
0.195000,0.351000,0.000000
0.259000,0.466200,0.000000
0.325000,0.585000,0.000000
0.390000,0.702000,0.000000
0.440000,0.792000,0.000000
0.505000,0.909000,0.000000
0.570000,1.026000,0.000000
0.620000,1.116000,0.000000
0.671000,1.207800,0.000000
0.736000,1.324800,0.000000
0.800000,1.440000,0.000000
0.866000,1.558800,0.000000
0.932000,1.677600,0.000000
0.997000,1.794600,0.000000
1.062000,1.911600,0.000000
1.128000,2.030400,0.000000
1.192000,2.145600,0.000000
1.243000,2.237400,0.000000
1.307000,2.352600,0.000000
1.357000,2.442600,0.000000
1.422000,2.559600,0.000000
1.487000,2.676600,0.000000
1.537000,2.766600,0.000000
1.601000,2.881800,0.000000
1.666000,2.998800,0.000000
1.731000,3.115800,0.000000
1.795000,3.231000,0.000000
1.860000,3.348000,0.000000
1.925000,3.465000,0.000000
1.990000,3.582000,0.000000
2.055000,3.699000,0.000000
2.119000,3.814200,0.000000
2.185000,3.933000,0.000000
2.250000,4.050000,0.000000
2.314000,4.165200,0.000000
2.380000,4.284000,0.000000
2.445000,4.401000,0.000000
2.510000,4.518000,0.000000
2.574000,4.633200,0.000000
2.640000,4.752000,0.000000
2.706000,4.870800,0.000000
2.756000,4.960800,0.000000
2.822000,5.079600,0.000000
2.887000,5.196600,0.000000
2.937000,5.286600,0.000000
3.002000,5.403600,0.000000
3.066000,5.518800,0.000000
3.130000,5.634000,0.000000
3.195000,5.751000,0.000000
3.260000,5.868000,0.000000
3.325000,5.985000,0.000000
3.390000,6.102000,0.000000
3.440000,6.192000,0.000000
3.504000,6.307200,0.000000
3.568000,6.422400,0.000000
3.633000,6.539400,0.000000
3.683000,6.629400,0.000000
3.748000,6.746400,0.000000
3.798000,6.836400,0.000000
3.849000,6.928200,0.000000
3.913000,7.043400,0.000000
3.979000,7.162200,0.000000
4.044000,7.279200,0.000000
4.110000,7.398000,0.000000
4.174000,7.513200,0.000000
4.239000,7.630200,0.000000
4.304000,7.747200,0.000000
4.370000,7.866000,0.000000
4.434000,7.981200,0.000000
4.498000,8.096400,0.000000
4.563000,8.213400,0.000000
4.627000,8.328600,0.000000
4.691000,8.443800,0.000000
4.741000,8.533800,0.000000
4.807000,8.652600,0.000000
4.872000,8.769600,0.000000
4.922000,8.859600,0.000000
4.972000,8.949600,0.000000
5.023000,9.041400,0.000000
5.088000,9.158400,0.000000
5.138000,9.248400,0.000000
5.204000,9.367200,0.000000
5.269000,9.457242,0.000000
5.333000,9.517151,0.000000
5.398000,9.574172,0.000000
5.463000,9.627577,0.000000
5.528000,9.677593,0.000000
5.592000,9.723734,0.000000
5.642000,9.757777,0.000000
5.706000,9.798908,0.000000
5.756000,9.829255,0.000000
5.821000,9.866479,0.000000
5.886000,9.901341,0.000000
5.950000,9.933502,0.000000
6.016000,9.964572,0.000000
6.080000,9.992782,0.000000
6.145000,10.019633,0.000000
6.210000,10.044781,0.000000
6.274000,10.067979,0.000000
6.340000,10.090391,0.000000
6.405000,10.111050,0.000000
6.455000,10.126049,0.000000
6.505000,10.140310,0.000000
6.571000,10.158065,0.000000
6.636000,10.174431,0.000000
6.700000,10.189529,0.000000
6.765000,10.203900,0.000000
6.829000,10.217156,0.000000
6.895000,10.229964,0.000000
6.945000,10.239115,0.000000
7.009000,10.250171,0.000000
7.073000,10.260537,0.000000
7.138000,10.270403,0.000000
7.188000,10.277566,0.000000
7.238000,10.284377,0.000000
7.302000,10.292605,0.000000
7.367000,10.300437,0.000000
7.418000,10.306235,0.000000
7.482000,10.313098,0.000000
7.533000,10.318261,0.000000
7.598000,10.324466,0.000000
7.648000,10.328970,0.000000
7.714000,10.334578,0.000000
7.780000,10.339825,0.000000
7.830000,10.343575,0.000000
7.880000,10.347140,0.000000
7.945000,10.351512,0.000000
8.009000,10.355546,0.000000
8.073000,10.359328,0.000000
8.137000,10.362874,0.000000
8.202000,10.366248,0.000000
8.267000,10.369409,0.000000
8.331000,10.372325,0.000000
8.397000,10.375141,0.000000
8.462000,10.377738,0.000000
8.527000,10.380170,0.000000
8.577000,10.381935,0.000000
8.641000,10.384068,0.000000
8.706000,10.386098,0.000000
8.756000,10.387572,0.000000
8.806000,10.388974,0.000000
8.870000,10.390667,0.000000
8.934000,10.392255,0.000000
8.999000,10.393766,0.000000
9.064000,10.395181,0.000000
9.114000,10.396208,0.000000
9.179000,10.397468,0.000000
9.244000,10.398648,0.000000
9.308000,10.399737,0.000000
9.373000,10.400774,0.000000
9.423000,10.401526,0.000000
9.487000,10.402435,0.000000
9.537000,10.403106,0.000000
9.601000,10.403916,0.000000
9.666000,10.404687,0.000000
