# source_cycle=C:\Projects\SiCTransistorModelDriveCycles\sim\research_exports\wltc\wltc_class3_official.csv
# vehicle_config=tesla_model3_premium_long_range_rwd_de_wltp
# peak_phase_current_a=186.280351680
# peak_total_loss_w=434.887844423
# peak_unserved_power_w=0.000000000
# loss_energy_wh=31.110648371
time_s,dc_power_requested_w,dc_power_served_w,unserved_power_w,phase_current_rms_a,phase_current_peak_a,device_current_rms_a,device_current_peak_a,junction_temperature_c,rds_on_device_ohm,conduction_loss_w,switching_loss_w,total_loss_w
43.000000,-7289.226826,-7289.226826,0.000000,19.140147,27.068256,19.140147,27.068256,25.000000,0.002600000,2.857493,43.528312,46.385805
44.000000,-3682.971732,-3682.971732,0.000000,9.670795,13.676570,9.670795,13.676570,25.000000,0.002600000,0.729489,21.993217,22.722706
45.000000,-1058.488023,-1058.488023,0.000000,2.779392,3.930653,2.779392,3.930653,25.000000,0.002600000,0.060255,6.320862,6.381117
46.000000,-642.359932,-642.359932,0.000000,1.686717,2.385378,1.686717,2.385378,25.000000,0.002600000,0.022191,3.835914,3.858105
47.000000,-1180.352606,-1180.352606,0.000000,3.099385,4.383193,3.099385,4.383193,25.000000,0.002600000,0.074928,7.048588,7.123516
48.000000,-851.613038,-851.613038,0.000000,2.236177,3.162431,2.236177,3.162431,25.000000,0.002600000,0.039004,5.085488,5.124492
49.000000,189.479963,189.479963,0.000000,0.497539,0.703626,0.497539,0.703626,25.000000,0.002600000,0.001931,1.131498,1.133429
50.000000,467.528662,467.528662,0.000000,1.227643,1.736149,1.227643,1.736149,25.000000,0.002600000,0.011755,2.791892,2.803647
51.000000,-1143.171838,-1143.171838,0.000000,3.001756,4.245123,3.001756,4.245123,25.000000,0.002600000,0.070282,6.826560,6.896842
52.000000,-2697.939251,-2697.939251,0.000000,7.084284,10.018691,7.084284,10.018691,25.000000,0.002600000,0.391459,16.111001,16.502461
53.000000,-1814.298976,-1814.298976,0.000000,4.764010,6.737328,4.764010,6.737328,25.000000,0.002600000,0.177027,10.834259,11.011286
54.000000,-221.277084,-221.277084,0.000000,0.581032,0.821704,0.581032,0.821704,25.000000,0.002600000,0.002633,1.321377,1.324010
55.000000,580.913051,580.913051,0.000000,1.525369,2.157198,1.525369,2.157198,25.000000,0.002600000,0.018149,3.468978,3.487126
56.000000,674.637332,674.637332,0.000000,1.771472,2.505239,1.771472,2.505239,25.000000,0.002600000,0.024477,4.028661,4.053138
57.000000,955.810174,955.810174,0.000000,2.509779,3.549363,2.509779,3.549363,25.000000,0.002600000,0.049132,5.707712,5.756844
58.000000,1268.575423,1268.575423,0.000000,3.331042,4.710805,3.331042,4.710805,25.000000,0.002600000,0.086548,7.575419,7.661967
59.000000,3071.606189,3071.606189,0.000000,8.065464,11.406288,8.065464,11.406288,25.000000,0.002600000,0.507403,18.342389,18.849792
60.000000,3934.254054,3934.254054,0.000000,10.330616,14.609697,10.330616,14.609697,25.000000,0.002600000,0.832429,23.493773,24.326202
61.000000,2304.410169,2304.410169,0.000000,6.050950,8.557336,6.050950,8.557336,25.000000,0.002600000,0.285589,13.761005,14.046594
62.000000,2024.442048,2024.442048,0.000000,5.315806,7.517686,5.315806,7.517686,25.000000,0.002600000,0.220411,12.089149,12.309559
63.000000,2443.384325,2443.384325,0.000000,6.415871,9.073411,6.415871,9.073411,25.000000,0.002600000,0.321074,14.590902,14.911977
64.000000,3117.173272,3117.173272,0.000000,8.185114,11.575500,8.185114,11.575500,25.000000,0.002600000,0.522570,18.614497,19.137067
65.000000,2413.869541,2413.869541,0.000000,6.338370,8.963809,6.338370,8.963809,25.000000,0.002600000,0.313365,14.414652,14.728016
66.000000,1890.534796,1890.534796,0.000000,4.964191,7.020426,4.964191,7.020426,25.000000,0.002600000,0.192217,11.289509,11.481726
67.000000,4222.739236,4222.739236,0.000000,11.088124,15.680975,11.088124,15.680975,25.000000,0.002600000,0.958983,25.216490,26.175472
68.000000,8792.206455,8792.206455,0.000000,23.086691,32.649511,23.086691,32.649511,25.000000,0.002600000,4.157363,52.503499,56.660862
69.000000,12606.837563,12606.837563,0.000000,33.103199,46.814993,33.103199,46.814993,25.000000,0.002600000,8.547410,75.282932,83.830342
70.000000,15260.320114,15260.320114,0.000000,40.070748,56.668596,40.070748,56.668596,25.000000,0.002600000,12.524186,91.128456,103.652642
71.000000,16038.154624,16038.154624,0.000000,42.113196,59.557053,42.113196,59.557053,25.000000,0.002600000,13.833466,95.773368,109.606835
72.000000,13768.253504,13768.253504,0.000000,36.152860,51.127865,36.152860,51.127865,25.000000,0.002600000,10.194829,82.218438,92.413266
73.000000,9991.866115,9991.866115,0.000000,26.236773,37.104400,26.236773,37.104400,25.000000,0.002600000,5.369272,59.667381,65.036653
74.000000,7836.294404,7836.294404,0.000000,20.576644,29.099770,20.576644,29.099770,25.000000,0.002600000,3.302507,46.795179,50.097685
75.000000,7768.207283,7768.207283,-0.000000,20.397860,28.846931,20.397860,28.846931,25.000000,0.002600000,3.245367,46.388590,49.633957
76.000000,8586.391485,8586.391485,0.000000,22.546259,31.885226,22.546259,31.885226,25.000000,0.002600000,3.965004,51.274455,55.239459
77.000000,8261.475392,8261.475392,0.000000,21.693090,30.678662,21.693090,30.678662,25.000000,0.002600000,3.670603,49.334187,53.004791
78.000000,5688.837196,5688.837196,0.000000,14.937823,21.125272,14.937823,21.125272,25.000000,0.002600000,1.740481,33.971433,35.711914
79.000000,1711.806369,1711.806369,0.000000,4.494884,6.356725,4.494884,6.356725,25.000000,0.002600000,0.157591,10.222215,10.379806
80.000000,-279.454377,-279.454377,0.000000,0.733795,1.037743,0.733795,1.037743,25.000000,0.002600000,0.004200,1.668788,1.672988
81.000000,-1579.815866,-1579.815866,0.000000,4.148301,5.866584,4.148301,5.866584,25.000000,0.002600000,0.134226,9.434021,9.568247
82.000000,-1187.098641,-1187.098641,0.000000,3.117099,4.408244,3.117099,4.408244,25.000000,0.002600000,0.075787,7.088873,7.164660
83.000000,683.811036,683.811036,0.000000,1.795560,2.539305,1.795560,2.539305,25.000000,0.002600000,0.025147,4.083443,4.108590
84.000000,-468.937084,-468.937084,0.000000,1.231341,1.741379,1.231341,1.741379,25.000000,0.002600000,0.011826,2.800302,2.812129
85.000000,-986.642292,-986.642292,0.000000,2.590738,3.663857,2.590738,3.663857,25.000000,0.002600000,0.052353,5.891828,5.944181
86.000000,-807.175666,-807.175666,-0.000000,2.119492,2.997415,2.119492,2.997415,25.000000,0.002600000,0.035040,4.820126,4.855166
87.000000,-465.881588,-465.881588,0.000000,1.223318,1.730033,1.223318,1.730033,25.000000,0.002600000,0.011673,2.782056,2.793729
88.000000,-3098.475889,-3098.475889,-0.000000,8.136019,11.506068,8.136019,11.506068,25.000000,0.002600000,0.516319,18.502844,19.019163
89.000000,-9360.782905,-9360.782905,0.000000,24.579666,34.760897,24.579666,34.760897,25.000000,0.002600000,4.712448,55.898807,60.611255
90.000000,-11986.900562,-11986.900562,0.000000,31.475360,44.512882,31.475360,44.512882,25.000000,0.002600000,7.727447,71.580919,79.308366
91.000000,-10109.698303,-10109.698303,0.000000,26.546178,37.541965,26.546178,37.541965,25.000000,0.002600000,5.496657,60.371027,65.867683
92.000000,-5781.739461,-5781.739461,0.000000,15.181767,21.470261,15.181767,21.470261,25.000000,0.002600000,1.797791,34.526208,36.323999
93.000000,-2921.507189,-2921.507189,0.000000,7.671332,10.848902,7.671332,10.848902,25.000000,0.002600000,0.459025,17.446059,17.905083
94.000000,-2529.809596,-2529.809596,0.000000,6.642807,9.394348,6.642807,9.394348,25.000000,0.002600000,0.344190,15.106999,15.451189
95.000000,-2402.773502,-2402.773502,0.000000,6.309234,8.922604,6.309234,8.922604,25.000000,0.002600000,0.310490,14.348391,14.658881
96.000000,-1337.340132,-1337.340132,0.000000,3.511605,4.966160,3.511605,4.966160,25.000000,0.002600000,0.096185,7.986054,8.082239
97.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,25.000000,0.002600000,0.000000,0.000000,0.000000
98.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,25.000000,0.002600000,0.000000,0.000000,0.000000
99.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,25.000000,0.002600000,0.000000,0.000000,0.000000
100.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,25.000000,0.002600000,0.000000,0.000000,0.000000
101.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,25.000000,0.002600000,0.000000,0.000000,0.000000
102.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,25.000000,0.002600000,0.000000,0.000000,0.000000
103.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,25.000000,0.002600000,0.000000,0.000000,0.000000
104.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,25.000000,0.002600000,0.000000,0.000000,0.000000
105.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,25.000000,0.002600000,0.000000,0.000000,0.000000
106.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,25.000000,0.002600000,0.000000,0.000000,0.000000
107.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,25.000000,0.002600000,0.000000,0.000000,0.000000
108.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,25.000000,0.002600000,0.000000,0.000000,0.000000
109.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,25.000000,0.002600000,0.000000,0.000000,0.000000
110.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,25.000000,0.002600000,0.000000,0.000000,0.000000
111.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,25.000000,0.002600000,0.000000,0.000000,0.000000
112.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,25.000000,0.002600000,0.000000,0.000000,0.000000
113.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,25.000000,0.002600000,0.000000,0.000000,0.000000
114.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,25.000000,0.002600000,0.000000,0.000000,0.000000
115.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,25.000000,0.002600000,0.000000,0.000000,0.000000
116.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,25.000000,0.002600000,0.000000,0.000000,0.000000
117.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,25.000000,0.002600000,0.000000,0.000000,0.000000
118.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,25.000000,0.002600000,0.000000,0.000000,0.000000
119.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,25.000000,0.002600000,0.000000,0.000000,0.000000
120.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,25.000000,0.002600000,0.000000,0.000000,0.000000
121.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,25.000000,0.002600000,0.000000,0.000000,0.000000
122.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,25.000000,0.002600000,0.000000,0.000000,0.000000
123.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,25.000000,0.002600000,0.000000,0.000000,0.000000
124.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,25.000000,0.002600000,0.000000,0.000000,0.000000
125.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,25.000000,0.002600000,0.000000,0.000000,0.000000
126.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,25.000000,0.002600000,0.000000,0.000000,0.000000
127.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,25.000000,0.002600000,0.000000,0.000000,0.000000
128.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,25.000000,0.002600000,0.000000,0.000000,0.000000
129.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,25.000000,0.002600000,0.000000,0.000000,0.000000
130.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,25.000000,0.002600000,0.000000,0.000000,0.000000
131.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,25.000000,0.002600000,0.000000,0.000000,0.000000
132.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,25.000000,0.002600000,0.000000,0.000000,0.000000
133.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,25.000000,0.002600000,0.000000,0.000000,0.000000
134.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,25.000000,0.002600000,0.000000,0.000000,0.000000
