# source=UNECE WLTP-DHC-12-07e official workbook
# source_workbook=C:\Projects\SiCTransistorModelDriveCycles\sim\src\drive_cycles\wltp_data\WLTP-DHC-12-07e.xls
# cycle=WLTC Class 3
# test_mode=prescribed_speed_flat_grade
time_s,v_mps,grade_deg
190.0,4.027777778,0.0
191.0,3.805555556,0.0
192.0,3.583333333,0.0
193.0,3.472222222,0.0
194.0,3.388888889,0.0
195.0,3.333333333,0.0
196.0,3.333333333,0.0
197.0,3.333333333,0.0
198.0,3.333333333,0.0
199.0,3.472222222,0.0
200.0,3.611111111,0.0
201.0,3.888888889,0.0
202.0,4.166666667,0.0
203.0,4.583333333,0.0
204.0,5.277777778,0.0
205.0,5.888888889,0.0
206.0,6.611111111,0.0
207.0,7.472222222,0.0
208.0,8.222222222,0.0
209.0,8.888888889,0.0
210.0,9.777777778,0.0
211.0,10.416666667,0.0
212.0,10.888888889,0.0
213.0,11.250000000,0.0
214.0,11.555555556,0.0
215.0,11.972222222,0.0
216.0,12.500000000,0.0
217.0,13.083333333,0.0
218.0,13.611111111,0.0
219.0,14.055555556,0.0
220.0,14.388888889,0.0
221.0,14.638888889,0.0
222.0,14.750000000,0.0
223.0,14.861111111,0.0
224.0,14.944444444,0.0
225.0,15.055555556,0.0
226.0,15.222222222,0.0
227.0,15.361111111,0.0
228.0,15.500000000,0.0
229.0,15.611111111,0.0
230.0,15.694444444,0.0
231.0,15.694444444,0.0
232.0,15.611111111,0.0
233.0,15.250000000,0.0
234.0,14.694444444,0.0
235.0,14.166666667,0.0
236.0,13.833333333,0.0
237.0,13.666666667,0.0
238.0,13.444444444,0.0
239.0,13.027777778,0.0
240.0,12.305555556,0.0
241.0,11.527777778,0.0
242.0,10.972222222,0.0
243.0,10.277777778,0.0
244.0,9.611111111,0.0
245.0,8.972222222,0.0
246.0,8.055555556,0.0
247.0,6.972222222,0.0
248.0,6.166666667,0.0
249.0,5.805555556,0.0
250.0,5.666666667,0.0
251.0,5.416666667,0.0
252.0,5.111111111,0.0
253.0,4.944444444,0.0
254.0,4.944444444,0.0
255.0,4.833333333,0.0
256.0,4.361111111,0.0
257.0,4.027777778,0.0
