# source_cycle=C:\Projects\SiCTransistorModelDriveCycles\sim\research_exports\wltc\wltc_class3_official.csv
# vehicle_config=tesla_model3_premium_long_range_rwd_de_wltp
# distance_km=23.262388889
# traction_energy_kwh=3.595816634
# recovered_energy_kwh=0.890225399
# base_auxiliary_energy_kwh=0.150000000
# hvac_energy_kwh=0.000000000
# total_auxiliary_energy_kwh=0.150000000
# net_battery_energy_kwh=2.855591235
time_s,v_mps,accel_mps2,grade_deg,force_inertial_n,force_rolling_n,force_aero_n,force_grade_n,force_total_n,wheel_power_w,dc_power_w,auxiliary_power_w,battery_power_w,friction_brake_power_w
34.000000,12.333333,0.083333,0.000000,151.833334,178.677163,47.571609,0.000000,378.082106,4663.012638,5068.491998,300.000000,5368.491998,0.000000
35.000000,12.361111,-0.027778,0.000000,-50.611111,178.677163,47.786137,0.000000,175.852189,2173.728452,2362.748318,300.000000,2662.748318,0.000000
36.000000,12.277778,-0.250000,0.000000,-455.500000,178.677163,47.144001,0.000000,-229.678836,-2819.945704,-2255.956563,300.000000,-1955.956563,0.000000
37.000000,11.861111,-0.597222,0.000000,-1088.138889,178.677163,43.998478,0.000000,-865.463249,-10265.355754,-8212.284603,300.000000,-7912.284603,0.000000
38.000000,11.083333,-0.791667,0.000000,-1442.416666,178.677163,38.417376,0.000000,-1225.322128,-13580.653583,-10864.522866,300.000000,-10564.522866,0.000000
39.000000,10.277778,-0.736111,0.000000,-1341.194444,178.677163,33.035840,0.000000,-1129.481442,-11608.559261,-9286.847408,300.000000,-8986.847408,0.000000
40.000000,9.611111,-0.652778,0.000000,-1189.361112,178.677163,28.889106,0.000000,-981.794843,-9436.139321,-7548.911457,300.000000,-7248.911457,0.000000
41.000000,8.972222,-0.777778,0.000000,-1417.111111,178.677163,25.176013,0.000000,-1213.257935,-10885.619806,-8708.495845,300.000000,-8408.495845,0.000000
42.000000,8.055556,-1.000000,0.000000,-1822.000000,178.677163,20.294479,0.000000,-1623.028358,-13074.395110,-10459.516088,300.000000,-10159.516088,0.000000
43.000000,6.972222,-0.944444,0.000000,-1720.777778,178.677163,15.203002,0.000000,-1526.897613,-10645.869469,-8516.695575,300.000000,-8216.695575,0.000000
44.000000,6.166667,-0.583333,0.000000,-1062.833333,178.677163,11.892902,0.000000,-872.263267,-5378.956816,-4303.165453,300.000000,-4003.165453,0.000000
45.000000,5.805556,-0.250000,0.000000,-455.500000,178.677163,10.540822,0.000000,-266.282015,-1545.915032,-1236.732026,300.000000,-936.732026,0.000000
46.000000,5.666667,-0.194444,0.000000,-354.277778,178.677163,10.042509,0.000000,-165.558106,-938.162599,-750.530079,300.000000,-450.530079,0.000000
47.000000,5.416667,-0.277778,0.000000,-506.111112,178.677163,9.175952,0.000000,-318.257997,-1723.897482,-1379.117986,300.000000,-1079.117986,0.000000
48.000000,5.111111,-0.236111,0.000000,-430.194445,178.677163,8.169915,0.000000,-243.347367,-1243.775431,-995.020345,300.000000,-695.020345,0.000000
49.000000,4.944444,-0.083333,0.000000,-151.833334,178.677163,7.645782,0.000000,34.489611,170.531967,185.360834,300.000000,485.360834,0.000000
50.000000,4.944444,-0.055556,0.000000,-101.222222,178.677163,7.645782,0.000000,85.100723,420.775796,457.364996,300.000000,757.364996,0.000000
51.000000,4.833333,-0.291667,0.000000,-531.416666,178.677163,7.306012,0.000000,-345.433491,-1669.595207,-1335.676165,300.000000,-1035.676165,0.000000
52.000000,4.361111,-0.597222,0.000000,-1088.138888,178.677163,5.948140,0.000000,-903.513585,-3940.323135,-3152.258508,300.000000,-2852.258508,0.000000
53.000000,3.638889,-0.500000,0.000000,-911.000000,178.677163,4.141184,0.000000,-728.181653,-2649.772127,-2119.817702,300.000000,-1819.817702,0.000000
54.000000,3.361111,-0.152778,0.000000,-278.361112,178.677163,3.533073,0.000000,-96.150875,-323.173775,-258.539020,300.000000,41.460980,0.000000
55.000000,3.333333,-0.013889,0.000000,-25.305556,178.677163,3.474917,0.000000,156.846524,522.821746,568.284507,300.000000,868.284507,0.000000
56.000000,3.333333,0.000000,0.000000,0.000000,178.677163,3.474917,0.000000,182.152080,607.173599,659.971303,300.000000,959.971303,0.000000
57.000000,3.333333,0.041667,0.000000,75.916667,178.677163,3.474917,0.000000,258.068747,860.229156,935.031692,300.000000,1235.031692,0.000000
58.000000,3.416667,0.083333,0.000000,151.833334,178.677163,3.650834,0.000000,334.161331,1141.717881,1240.997697,300.000000,1540.997697,0.000000
59.000000,3.500000,0.333333,0.000000,607.333333,178.677163,3.831096,0.000000,789.841591,2764.445570,3004.832141,300.000000,3304.832141,0.000000
60.000000,4.083333,0.375000,0.000000,683.250000,178.677163,5.214547,0.000000,867.141710,3540.828648,3848.726791,300.000000,4148.726791,0.000000
61.000000,4.250000,0.166667,0.000000,303.666667,178.677163,5.648911,0.000000,487.992742,2073.969152,2254.314296,300.000000,2554.314296,0.000000
62.000000,4.416667,0.125000,0.000000,227.750000,178.677163,6.100651,0.000000,412.527814,1821.997843,1980.432439,300.000000,2280.432439,0.000000
63.000000,4.500000,0.166667,0.000000,303.666666,178.677163,6.333036,0.000000,488.676865,2199.045892,2390.267274,300.000000,2690.267274,0.000000
64.000000,4.750000,0.222222,0.000000,404.888888,178.677163,7.056253,0.000000,590.622304,2805.455945,3049.408636,300.000000,3349.408636,0.000000
65.000000,4.944444,0.138889,0.000000,253.055556,178.677163,7.645782,0.000000,439.378501,2172.482586,2361.394116,300.000000,2661.394116,0.000000
66.000000,5.027778,0.083333,0.000000,151.833334,178.677163,7.905677,0.000000,338.416173,1701.481316,1849.436213,300.000000,2149.436213,0.000000
67.000000,5.111111,0.305556,0.000000,556.722222,178.677163,8.169915,0.000000,743.569300,3800.465313,4130.940557,300.000000,4430.940557,0.000000
68.000000,5.638889,0.666667,0.000000,1214.666666,178.677163,9.944295,0.000000,1403.288124,7912.985810,8601.071532,300.000000,8901.071532,0.000000
69.000000,6.444444,0.861111,0.000000,1568.944444,178.677163,12.988466,0.000000,1760.610074,11346.153806,12332.775877,300.000000,12632.775877,0.000000
70.000000,7.361111,0.916667,0.000000,1670.166667,178.677163,16.946252,0.000000,1865.790082,13734.288102,14928.574024,300.000000,15228.574024,0.000000
71.000000,8.277778,0.847222,0.000000,1543.638889,178.677163,21.429618,0.000000,1743.745670,14434.339161,15689.499088,300.000000,15989.499088,0.000000
72.000000,9.055556,0.638889,0.000000,1164.055556,178.677163,25.645850,0.000000,1368.378569,12391.428153,13468.943645,300.000000,13768.943645,0.000000
73.000000,9.555556,0.402778,0.000000,733.861111,178.677163,28.556093,0.000000,941.094367,8992.679503,9774.651634,300.000000,10074.651634,0.000000
74.000000,9.861111,0.277778,0.000000,506.111111,178.677163,30.411554,0.000000,715.199827,7052.664963,7665.940178,300.000000,7965.940178,0.000000
75.000000,10.111111,0.263889,0.000000,480.805556,178.677163,31.973094,0.000000,691.455813,6991.386555,7599.333212,300.000000,7899.333212,0.000000
76.000000,10.388889,0.291667,0.000000,531.416666,178.677163,33.753989,0.000000,743.847819,7727.752337,8399.730801,300.000000,8699.730801,0.000000
77.000000,10.694444,0.263889,0.000000,480.805556,178.677163,35.768717,0.000000,695.251436,7435.327853,8081.878101,300.000000,8381.878101,0.000000
78.000000,10.916667,0.138889,0.000000,253.055556,178.677163,37.270653,0.000000,469.003372,5119.953476,5565.166822,300.000000,5865.166822,0.000000
79.000000,10.972222,-0.041667,0.000000,-75.916667,178.677163,37.650963,0.000000,140.411459,1540.625732,1674.593187,300.000000,1974.593187,0.000000
80.000000,10.833333,-0.138889,0.000000,-253.055556,178.677163,36.703807,0.000000,-37.674585,-408.141343,-326.513074,300.000000,-26.513074,0.000000
81.000000,10.694444,-0.236111,0.000000,-430.194444,178.677163,35.768717,0.000000,-215.748564,-2307.311036,-1845.848828,300.000000,-1545.848828,0.000000
82.000000,10.361111,-0.208333,0.000000,-379.583333,178.677163,33.573728,0.000000,-167.332442,-1733.750023,-1387.000018,300.000000,-1087.000018,0.000000
83.000000,10.277778,-0.083333,0.000000,-151.833334,178.677163,33.035840,0.000000,59.879669,615.429932,668.945578,300.000000,968.945578,0.000000
84.000000,10.194444,-0.152778,0.000000,-278.361112,178.677163,32.502295,0.000000,-67.181653,-684.879632,-547.903706,300.000000,-247.903706,0.000000
85.000000,9.972222,-0.194444,0.000000,-354.277777,178.677163,31.100745,0.000000,-144.499868,-1440.984800,-1152.787840,300.000000,-852.787840,0.000000
86.000000,9.805556,-0.180556,0.000000,-328.972222,178.677163,30.069854,0.000000,-120.225206,-1178.874933,-943.099946,300.000000,-643.099946,0.000000
87.000000,9.611111,-0.152778,0.000000,-278.361112,178.677163,28.889106,0.000000,-70.794843,-680.417099,-544.333679,300.000000,-244.333679,0.000000
88.000000,9.500000,-0.375000,0.000000,-683.250000,178.677163,28.225011,0.000000,-476.347826,-4525.304351,-3620.243480,300.000000,-3320.243480,0.000000
89.000000,8.861111,-0.958333,0.000000,-1746.083334,178.677163,24.556319,0.000000,-1542.849852,-13671.363962,-10937.091170,300.000000,-10637.091170,0.000000
90.000000,7.583333,-1.375000,0.000000,-2505.250000,178.677163,17.984866,0.000000,-2308.587971,-17506.792116,-14005.433693,300.000000,-13705.433693,0.000000
91.000000,6.111111,-1.430556,0.000000,-2606.472222,178.677163,11.679581,0.000000,-2416.115478,-14765.150144,-11812.120115,300.000000,-11512.120115,0.000000
92.000000,4.722222,-1.083333,0.000000,-1973.833334,178.677163,6.973965,0.000000,-1788.182206,-8444.193750,-6755.355000,300.000000,-6455.355000,0.000000
93.000000,3.944444,-0.694444,0.000000,-1265.277778,178.677163,4.865849,0.000000,-1081.734766,-4266.842689,-3413.474151,300.000000,-3113.474151,0.000000
94.000000,3.333333,-0.708333,0.000000,-1290.583333,178.677163,3.474917,0.000000,-1108.431253,-3694.770843,-2955.816675,300.000000,-2655.816675,0.000000
95.000000,2.527778,-0.861111,0.000000,-1568.944444,178.677163,1.998318,0.000000,-1388.268963,-3509.235434,-2807.388347,300.000000,-2507.388347,0.000000
96.000000,1.611111,-0.763889,0.000000,-1391.805556,178.677163,0.811779,0.000000,-1212.316614,-1953.176766,-1562.541413,300.000000,-1262.541413,0.000000
97.000000,1.000000,-0.500000,0.000000,-911.000000,178.677163,0.312743,0.000000,-732.010095,-732.010095,-0.000000,300.000000,300.000000,732.010095
98.000000,0.611111,-0.500000,0.000000,-911.000000,178.677163,0.116796,0.000000,-732.206041,-447.459247,-0.000000,300.000000,300.000000,447.459247
99.000000,0.000000,-0.305556,0.000000,-556.722222,178.677163,0.000000,0.000000,-378.045059,-0.000000,-0.000000,300.000000,300.000000,0.000000
100.000000,0.000000,0.000000,0.000000,0.000000,178.677163,0.000000,0.000000,178.677163,0.000000,0.000000,300.000000,300.000000,0.000000
101.000000,0.000000,0.000000,0.000000,0.000000,178.677163,0.000000,0.000000,178.677163,0.000000,0.000000,300.000000,300.000000,0.000000
102.000000,0.000000,0.000000,0.000000,0.000000,178.677163,0.000000,0.000000,178.677163,0.000000,0.000000,300.000000,300.000000,0.000000
103.000000,0.000000,0.000000,0.000000,0.000000,178.677163,0.000000,0.000000,178.677163,0.000000,0.000000,300.000000,300.000000,0.000000
104.000000,0.000000,0.000000,0.000000,0.000000,178.677163,0.000000,0.000000,178.677163,0.000000,0.000000,300.000000,300.000000,0.000000
