profile_name,source_cycle,vehicle_name,duration_s,distance_km,traction_energy_kwh,recovered_energy_kwh,net_dc_energy_kwh,friction_brake_energy_kwh,peak_wheel_power_kw,peak_dc_propulsion_power_kw,peak_dc_regen_power_kw,peak_phase_current_a,peak_aggregate_semiconductor_loss_w,peak_representative_device_loss_w,peak_case_temperature_c,peak_junction_temperature_c,minimum_junction_temperature_c,rainflow_cycle_count,equivalent_full_cycles,maximum_delta_tj_c,total_relative_damage,reliability_calibrated,nonconverged_thermal_samples,overtemperature_samples
drive_cycle_20260816_224216_veh102029,C:\Projects\SiCTransistorModelDriveCycles\sim\cycles\drive_cycle_20260816_224216_veh102029.csv,tesla_model3_lr_rwd,436.65,2.586278621749999,0.737817202820849,0.2796784261194777,0.45813877670137126,0.002505885302577641,76.61321231495211,83.27523077712185,90.0,334.2114438145446,1331.0113097235412,55.45880457181422,67.77294022859071,87.3201596147295,65.0,170,167.0,22.320159614729505,0.06076837899806121,False,0,0
drive_cycle_20260816_224216_veh101029,C:\Projects\SiCTransistorModelDriveCycles\sim\cycles\drive_cycle_20260816_224216_veh101029.csv,tesla_model3_lr_rwd,280.45,2.40861978515002,0.4768293488739301,0.16591376577351688,0.31091558310041323,0.0021853787533108733,49.30450210696368,53.591850116264865,90.0,334.2114438145446,1338.8442352041989,55.78517646684162,67.78925882334208,89.39940643993499,65.0,127,124.0,24.399406439934992,0.026156253961748022,False,0,0
drive_cycle_20260816_224216_veh103029,C:\Projects\SiCTransistorModelDriveCycles\sim\cycles\drive_cycle_20260816_224216_veh103029.csv,tesla_model3_lr_rwd,414.1,3.183039839450026,0.7400635101286039,0.3155313732088083,0.42453213691979563,0.0010993069829717333,95.69695200103992,104.01842608808685,90.0,386.2683151801778,1748.7939768468523,72.86641570195218,68.64332078509761,96.32786698761393,65.0,167,164.0,31.32786698761393,0.11460876916322946,False,0,0
